"ABEL JESUS DE ARRUDA FILHO";"ABEL ARRUDA";"28456";"Aguardando julgamento";"PRTB";"28";"SENTIMENTO CUIABANO II";"PSC / PSDC / PRTB";"Vereador";"Masculino";"1966-02-06";"Casado(a)";"Taxista";"Ensino Médio completo";"Brasileira nata";"SANTO ANTONIO DO LEVERGER/MT";"";"";"452952012";"46-54.2012.6.11.0001";""
"ABEL MOREIRA";"ABEL";"17999";"Aguardando julgamento";"PSL";"17";"SENTIMENTO CUIABANO III";"PSL / PTN / PHS / PTC";"Vereador";"Masculino";"1956-07-30";"Casado(a)";"Professor e Instrutor de Formação Profissional";"Superior completo";"Brasileira nata";"VÁRZEA GRANDE/MT";"";"";"451662012";"341-91.2012.6.11.0001";""
"ADAIR JOSÉ DE FREITAS";"NEZINHO DO SACOLÃO";"44012";"Aguardando julgamento";"PRP";"44";"Partido não coligado";"-";"Vereador";"Masculino";"1975-09-27";"Casado(a)";"Outros";"Ensino Fundamental incompleto";"Brasileira nata";"PONTES E LACERDA/MT";"";"";"445872012";"388-65.2012.6.11.0001";""
"ADAIR LUIZA NUNES";"ADAIR NUNES - DADÁ";"31200";"Aguardando julgamento";"PHS";"31";"SENTIMENTO CUIABANO III";"PSL / PTN / PHS / PTC";"Vereador";"Feminino";"1952-07-04";"Solteiro(a)";"Vendedor de Comércio Varejista e Atacadista";"Ensino Médio completo";"Brasileira nata";"CUIABÁ/MT";"";"";"451672012";"342-76.2012.6.11.0001";""
"ADALGISO TRINDADE DANTAS";"DANTAS";"14567";"Aguardando julgamento";"PTB";"14";"É bem Cuiabá";"PRB / PTB";"Vereador";"Masculino";"1968-09-06";"Casado(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Médio completo";"Brasileira nata";"SANTA LUZIA/PB";"";"";"416332012";"445-83.2012.6.11.0001";""
"ADEILDO ALVES DE MOURA";"ADEILDO ALVES";"50123";"Aguardando julgamento";"PSOL";"50";"Partido não coligado";"-";"Vereador";"Masculino";"1969-05-04";"Divorciado(a)";"Trabalhador de Artes Gráficas";"Superior incompleto";"Brasileira nata";"ECHAPORÃ/SP";"";"";"374602012";"498-64.2012.6.11.0001";""
"ADEMILSO DA SILVA FRANÇA";"ADEMILSO FRANÇA";"23011";"Aguardando julgamento";"PPS";"23";"CUIABÁ SOCIAL E SUSTENTÁVEL";"PPS / PV";"Vereador";"Masculino";"1975-11-03";"Solteiro(a)";"Garçom";"Ensino Médio completo";"Brasileira nata";"CUIABÁ/MT";"";"";"403042012";"253-53.2012.6.11.0001";""
"ADEMIR DIAS COSTA";"ADEMIR COSTA";"23456";"Aguardando julgamento";"PPS";"23";"CUIABÁ SOCIAL E SUSTENTÁVEL";"PPS / PV";"Vereador";"Masculino";"1958-05-19";"Casado(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"CUIABÁ/MT";"";"";"403052012";"254-38.2012.6.11.0001";""
"ADERBAL CARLOS ABDALA QUEIROZ";"ADERBAL ABDALA";"54456";"Aguardando julgamento";"PPL";"54";"Partido não coligado";"-";"Vereador";"Masculino";"1958-03-24";"Solteiro(a)";"Corretor de Imóveis, Seguros, Títulos e Valores";"Ensino Fundamental completo";"Brasileira nata";"SÃO JOSÉ DO JACURI/MG";"";"";"402432012";"513-33.2012.6.11.0001";""
"ADEVAIR BATISTA CABRAL";"ADEVAIR CABRAL";"12500";"Aguardando julgamento";"PDT";"12";"Partido não coligado";"-";"Vereador";"Masculino";"1965-08-16";"Casado(a)";"Vereador";"Superior completo";"Brasileira nata";"POXOREO/MT";"";"";"423112012";"194-65.2012.6.11.0001";""
"ADILSON AMERICO MACHADO DE OLIVEIRA";"ADILSON LEVANTE";"40140";"Aguardando julgamento";"PSB";"40";"Partido não coligado";"-";"Vereador";"Masculino";"1973-04-14";"Casado(a)";"Empresário";"Lê e escreve";"Brasileira nata";"CÁCERES/MT";"";"";"455792012";"44-84.2012.6.11.0001";""
"ADILSON DE SOUZA MADEIRA";"ADILSON MADEIRA";"36366";"Aguardando julgamento";"PTC";"36";"SENTIMENTO CUIABANO III";"PSL / PTN / PHS / PTC";"Vereador";"Masculino";"1966-05-13";"Solteiro(a)";"Administrador";"Ensino Fundamental completo";"Brasileira nata";"LAGES/SC";"";"";"451682012";"343-61.2012.6.11.0001";""
"ADRIANE MARTINS DA SILVA";"ADRIANE MARTINS";"70077";"Aguardando julgamento";"PT do B";"70";"Partido não coligado";"-";"Vereador";"Feminino";"1977-08-31";"Solteiro(a)";"Outros";"Superior incompleto";"Brasileira nata";"CHAPADA DOS GUIMARÃES/MT";"";"";"454952012";"329-77.2012.6.11.0001";""
"ADRIANI DA SILVA SAMPAIO";"DRIKA SAMPAIO";"13555";"Aguardando julgamento";"PT";"13";"Partido não coligado";"-";"Vereador";"Feminino";"1983-05-08";"Solteiro(a)";"Estudante, Bolsista, Estagiário e Assemelhados";"Superior incompleto";"Brasileira nata";"PARANATINGA/MT";"";"";"441992012";"218-93.2012.6.11.0001";""
"ADRIANO CAMPOS DOS SANTOS";"ADRIANO CAMPOS";"70210";"Aguardando julgamento";"PT do B";"70";"Partido não coligado";"-";"Vereador";"Masculino";"1981-06-28";"Solteiro(a)";"Vendedor de Comércio Varejista e Atacadista";"Ensino Médio incompleto";"Brasileira nata";"CUIABÁ/MT";"";"";"454962012";"330-62.2012.6.11.0001";""
